TeamNM,Date,Opponent,Result,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds
Iowa St.,09/02/2023,UNI,W 30-9,,,,
Iowa St.,09/09/2023,Iowa,L 13-20,,,,
Iowa St.,09/16/2023,@ Ohio,L 7-10,,,,
Iowa St.,09/23/2023,Oklahoma St.,W 34-27,,,,
Iowa St.,09/30/2023,@ Oklahoma,L 20-50,,,,
Iowa St.,10/07/2023,TCU,W 27-14,,,,
Iowa St.,10/14/2023,@ Cincinnati,W 30-10,1,,,
Iowa St.,10/28/2023,@ Baylor,W 30-18,1,,,
Iowa St.,11/04/2023,Kansas,L 21-28,,,,
Iowa St.,11/11/2023,@ BYU,W 45-13,2,,,6
Iowa St.,11/18/2023,Texas,L 16-26,1,,,
Iowa St.,11/25/2023,@ Kansas St.,W 42-35,,,,
Iowa St.,12/29/2023,@ Memphis,L 26-36,,,,
