TeamNM,Date,Opponent,Result,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
BYU,09/02/2023,Sam Houston,W 14-0,,,3,
BYU,09/09/2023,Southern Utah,W 41-16,1,,1,1
BYU,09/16/2023,@ Arkansas,W 38-31,1,1,1,
BYU,09/23/2023,@ Kansas,L 27-38,,1,,2
BYU,09/29/2023,Cincinnati,W 35-27,1,,1,
BYU,10/14/2023,@ TCU,L 11-44,,1,2,1
BYU,10/21/2023,Texas Tech,W 27-14,2,,3,
BYU,10/28/2023,@ Texas,L 6-35,1,1,1,2
BYU,11/04/2023,@ West Virginia,L 7-37,,1,,
BYU,11/11/2023,Iowa St.,L 13-45,,1,,2
BYU,11/18/2023,Oklahoma,L 24-31,,2,,1
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),,2,2,
