TeamNM,Date,Opponent,Result,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds
Cincinnati,09/02/2023,Eastern Ky.,W 66-13,2,,,
Cincinnati,09/09/2023,@ Pittsburgh,W 27-21,1,,,
Cincinnati,09/16/2023,Miami (OH),L 24-31 (1 OT),1,,,
Cincinnati,09/23/2023,Oklahoma,L 6-20,1,,,
Cincinnati,09/29/2023,@ BYU,L 27-35,,,,
Cincinnati,10/14/2023,Iowa St.,L 10-30,,,,
Cincinnati,10/21/2023,Baylor,L 29-32,,,,
Cincinnati,10/28/2023,@ Oklahoma St.,L 13-45,1,,,
Cincinnati,11/04/2023,UCF,L 26-28,,,,
Cincinnati,11/11/2023,@ Houston,W 24-14,,,,
Cincinnati,11/18/2023,@ West Virginia,L 21-42,,,,
Cincinnati,11/25/2023,Kansas,L 16-49,1,,,
