TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Arizona St,08/31/2023,Southern Utah,W 24-21,,3,,,3.00
Arizona St,09/09/2023,Oklahoma St.,L 15-27,,2,,,2.00
Arizona St,09/16/2023,Fresno St.,L 0-29,,3,,,3.00
Arizona St,09/23/2023,Southern California,L 28-42,,3,,,3.00
Arizona St,09/30/2023,@ California,L 21-24,,3,,,3.00
Arizona St,10/07/2023,Colorado,L 24-27,,7,,,7.00
Arizona St,10/21/2023,@ Washington,L 7-15,,4,2,,6.00
Arizona St,10/28/2023,Washington St.,W 38-27,,4,,,4.00
Arizona St,11/04/2023,@ Utah,L 3-55,,2,,,2.00
Arizona St,11/11/2023,@ UCLA,W 17-7,,6,,,6.00
Arizona St,11/18/2023,Oregon,L 13-49,15,2,2,,4.00
Arizona St,11/25/2023,Arizona,L 23-59,32,4,1,,5.00
